,university,journal,issn,access,notes
749,brandon-cleaned,JOURNAL OF BRYOLOGY,0373-6687,1,
750,brandon-cleaned,JOURNAL OF BUSINESS ETHICS,0167-4544,1,
751,brandon-cleaned,JOURNAL OF CHEMICAL ECOLOGY,0098-0331,0,
752,brandon-cleaned,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,0268-2575,0,
753,brandon-cleaned,JOURNAL OF CLEANER PRODUCTION,0959-6526,1,
754,brandon-cleaned,JOURNAL OF CLIMATE,0894-8755,1,
755,brandon-cleaned,JOURNAL OF COASTAL CONSERVATION,1400-0350,1,
756,brandon-cleaned,JOURNAL OF COASTAL RESEARCH,0749-0208,1,
757,brandon-cleaned,JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1,
758,brandon-cleaned,JOURNAL OF CONTEMPORARY WATER RESEARCH & EDUCATION,1936-7031,0,
759,brandon-cleaned,JOURNAL OF CRUSTACEAN BIOLOGY,0278-0372,1,
760,brandon-cleaned,JOURNAL OF CULTURAL HERITAGE,1296-2074,1,
761,brandon-cleaned,JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT,2044-1266,0,
762,brandon-cleaned,JOURNAL OF DESTINATION MARKETING & MANAGEMENT,2212-571X,0,
763,brandon-cleaned,JOURNAL OF DYNAMICS AND GAMES,2164-6066,0,
764,brandon-cleaned,JOURNAL OF ECOLOGY,0022-0477,1,
765,brandon-cleaned,JOURNAL OF ECONOMIC AND SOCIAL POLICY,1325-2224,0,
766,brandon-cleaned,JOURNAL OF ECONOMIC ENTOMOLOGY,0022-0493,1,
767,brandon-cleaned,JOURNAL OF ENERGY & NATURAL RESOURCES LAW,0264-6811,0,
768,brandon-cleaned,JOURNAL OF ENTOMOLOGICAL SCIENCE,0749-8004,1,
769,brandon-cleaned,JOURNAL OF ENVIRONMENT & DEVELOPMENT,1070-4965,1,
770,brandon-cleaned,JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT,2325-6192,1,
771,brandon-cleaned,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1083-1363,0,
772,brandon-cleaned,JOURNAL OF ENVIRONMENTAL BIOLOGY,0254-8704,0,
773,brandon-cleaned,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,1,
774,brandon-cleaned,JOURNAL OF ENVIRONMENTAL ECONOMICS AND POLICY,2160-6544,1,
775,brandon-cleaned,JOURNAL OF ENVIRONMENTAL ENGINEERING,0733-9372,1,
776,brandon-cleaned,JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,1496-2551,1,
777,brandon-cleaned,JOURNAL OF ENVIRONMENTAL INFORMATICS,1726-2135,0,
778,brandon-cleaned,JOURNAL OF ENVIRONMENTAL LAW,0952-8873,0,
779,brandon-cleaned,JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797,1,
780,brandon-cleaned,JOURNAL OF ENVIRONMENTAL MONITORING,1464-0325,1,
781,brandon-cleaned,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,0964-0568,0,
782,brandon-cleaned,JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,1523-908X,0,
783,brandon-cleaned,JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY,1311-5065,1,
784,brandon-cleaned,JOURNAL OF ENVIRONMENTAL QUALITY,0047-2425,1,
785,brandon-cleaned,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,0265-931X,1,
786,brandon-cleaned,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,0360-1234,1,
787,brandon-cleaned,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,0119-1144,0,
788,brandon-cleaned,JOURNAL OF ENVIRONMENTAL SCIENCES,1001-0742,0,
789,brandon-cleaned,JOURNAL OF ETHNOBIOLOGY,0278-0771,0,
790,brandon-cleaned,JOURNAL OF ETHNOPHARMACOLOGY,0378-8741,1,
791,brandon-cleaned,JOURNAL OF EUKARYOTIC MICROBIOLOGY,1066-5234,1,
792,brandon-cleaned,JOURNAL OF EUROPEAN PUBLIC POLICY,1350-1763,1,
793,brandon-cleaned,JOURNAL OF EXPERIENTIAL EDUCATION,1053-8259,1,
794,brandon-cleaned,JOURNAL OF EXPERIMENTAL BIOLOGY,0022-0949,0,
795,brandon-cleaned,JOURNAL OF EXPERIMENTAL BOTANY,0022-0957,1,
796,brandon-cleaned,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,0022-0981,1,
797,brandon-cleaned,JOURNAL OF FIELD ORNITHOLOGY,0273-8570,1,
798,brandon-cleaned,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,1944-687X,0,
799,brandon-cleaned,JOURNAL OF FISH BIOLOGY,0022-1112,1,
800,brandon-cleaned,JOURNAL OF FLOOD RISK MANAGEMENT,1753-318X,1,
801,brandon-cleaned,JOURNAL OF FOOD AGRICULTURE & ENVIRONMENT,1459-0255,0,
802,brandon-cleaned,JOURNAL OF FOREST ECONOMICS,1104-6899,1,
803,brandon-cleaned,JOURNAL OF FOREST RESEARCH,1341-6979,0,
804,brandon-cleaned,JOURNAL OF FORESTRY,0022-1201,0,
805,brandon-cleaned,JOURNAL OF FORESTRY RESEARCH,1007-662X,0,
806,brandon-cleaned,JOURNAL OF FRESHWATER ECOLOGY,0270-5060,0,
807,brandon-cleaned,JOURNAL OF GENETICS,0022-1333,0,
808,brandon-cleaned,JOURNAL OF GEOGRAPHICAL SCIENCES,1009-637X,0,
809,brandon-cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,2169-897X,0,
810,brandon-cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2169-8953,0,
811,brandon-cleaned,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,2169-9275,0,
812,brandon-cleaned,JOURNAL OF GREAT LAKES RESEARCH,0380-1330,1,
813,brandon-cleaned,JOURNAL OF GREEN BUILDING,1552-6100,0,
814,brandon-cleaned,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,1,
815,brandon-cleaned,JOURNAL OF HELMINTHOLOGY,0022-149X,0,
816,brandon-cleaned,JOURNAL OF HEREDITY,0022-1503,0,
817,brandon-cleaned,JOURNAL OF HERPETOLOGY,0022-1511,1,
818,brandon-cleaned,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,1,
819,brandon-cleaned,JOURNAL OF HYDRAULIC RESEARCH,0022-1686,0,
820,brandon-cleaned,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,1570-6443,0,
821,brandon-cleaned,JOURNAL OF HYDROLOGIC ENGINEERING,1084-0699,0,
822,brandon-cleaned,JOURNAL OF HYDROLOGY,0022-1694,1,
823,brandon-cleaned,JOURNAL OF HYDROMETEOROLOGY,1525-755X,1,
824,brandon-cleaned,JOURNAL OF INDUSTRIAL ECOLOGY,1088-1980,1,
825,brandon-cleaned,JOURNAL OF INSECT BEHAVIOR,0892-7553,0,
826,brandon-cleaned,JOURNAL OF INSECT CONSERVATION,1366-638X,0,
827,brandon-cleaned,JOURNAL OF INSECT PHYSIOLOGY,0022-1910,1,
828,brandon-cleaned,JOURNAL OF INSECT SCIENCE,1536-2442,1,
829,brandon-cleaned,JOURNAL OF INTEGRATIVE AGRICULTURE,2095-3119,0,
830,brandon-cleaned,JOURNAL OF INTEGRATIVE ENVIRONMENTAL SCIENCES,1943-815X,0,
831,brandon-cleaned,JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,1,
832,brandon-cleaned,JOURNAL OF ISLAND & COASTAL ARCHAEOLOGY,1556-4894,0,
833,brandon-cleaned,JOURNAL OF LAND USE SCIENCE,1747-423X,0,
834,brandon-cleaned,JOURNAL OF LANDSCAPE ARCHITECTURE,1862-6033,0,
835,brandon-cleaned,JOURNAL OF LATIN AMERICAN GEOGRAPHY,1545-2476,1,
836,brandon-cleaned,JOURNAL OF LIMNOLOGY,1129-5767,0,
837,brandon-cleaned,JOURNAL OF MAMMALOGY,0022-2372,1,
838,brandon-cleaned,JOURNAL OF MANAGEMENT STUDIES,0022-2380,1,
839,brandon-cleaned,JOURNAL OF MAPS,1744-5647,1,
840,brandon-cleaned,JOURNAL OF MARINE SYSTEMS,0924-7963,1,
841,brandon-cleaned,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,0022-247X,1,
842,brandon-cleaned,JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,0,
843,brandon-cleaned,JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,1,
844,brandon-cleaned,JOURNAL OF MEDICAL ETHICS,0306-6800,0,
845,brandon-cleaned,JOURNAL OF MEDICINAL PLANTS RESEARCH,1996-0875,1,
846,brandon-cleaned,JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,1,
847,brandon-cleaned,JOURNAL OF MOLECULAR LIQUIDS,0167-7322,1,
848,brandon-cleaned,JOURNAL OF MOLLUSCAN STUDIES,0260-1230,0,
849,brandon-cleaned,JOURNAL OF MOUNTAIN SCIENCE,1672-6316,0,
850,brandon-cleaned,JOURNAL OF NATURAL HISTORY,0022-2933,1,
851,brandon-cleaned,JOURNAL OF NEAR INFRARED SPECTROSCOPY,0967-0335,0,
852,brandon-cleaned,JOURNAL OF NEMATOLOGY,0022-300X,0,
853,brandon-cleaned,JOURNAL OF OCEAN ENGINEERING AND SCIENCE,2468-0133,1,
854,brandon-cleaned,JOURNAL OF OCEANOLOGY AND LIMNOLOGY,2096-5508,0,
855,brandon-cleaned,JOURNAL OF ORNITHOLOGY,2193-7192,0,
856,brandon-cleaned,JOURNAL OF OUTDOOR RECREATION AND TOURISM-RESEARCH PLANNING AND MANAGEMENT,2213-0780,0,
857,brandon-cleaned,JOURNAL OF PALEOLIMNOLOGY,0921-2728,0,
858,brandon-cleaned,JOURNAL OF PARK AND RECREATION ADMINISTRATION,0735-1968,0,
859,brandon-cleaned,JOURNAL OF PEASANT STUDIES,0306-6150,1,
860,brandon-cleaned,JOURNAL OF PEDIATRIC INFECTIOUS DISEASES,1305-7707,0,
861,brandon-cleaned,JOURNAL OF PEST SCIENCE,1612-4758,0,
862,brandon-cleaned,JOURNAL OF PLANNING LITERATURE,0885-4122,1,
863,brandon-cleaned,JOURNAL OF PLANT DISEASES AND PROTECTION,1861-3829,0,
864,brandon-cleaned,JOURNAL OF PLANT ECOLOGY,1752-9921,0,
865,brandon-cleaned,JOURNAL OF PLANT NUTRITION,0190-4167,1,
866,brandon-cleaned,JOURNAL OF POLICY RESEARCH IN TOURISM LEISURE AND EVENTS,1940-7963,1,
867,brandon-cleaned,JOURNAL OF POLITICAL ECOLOGY,1073-0451,1,
868,brandon-cleaned,JOURNAL OF POLYMER ENGINEERING,0334-6447,0,
869,brandon-cleaned,JOURNAL OF RANGE MANAGEMENT,0022-409X,1,
870,brandon-cleaned,JOURNAL OF RAPTOR RESEARCH,0892-1016,0,
871,brandon-cleaned,JOURNAL OF RISK RESEARCH,1366-9877,1,
872,brandon-cleaned,JOURNAL OF RURAL STUDIES,0743-0167,1,
873,brandon-cleaned,JOURNAL OF SEA RESEARCH,1385-1101,1,
874,brandon-cleaned,JOURNAL OF SHELLFISH RESEARCH,0730-8000,0,
875,brandon-cleaned,JOURNAL OF SIMULATION,1747-7778,0,
876,brandon-cleaned,JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,1,
877,brandon-cleaned,JOURNAL OF SOILS AND SEDIMENTS,1439-0108,0,
878,brandon-cleaned,JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,1,
879,brandon-cleaned,JOURNAL OF SUSTAINABLE FORESTRY,1054-9811,0,
880,brandon-cleaned,JOURNAL OF SUSTAINABLE TOURISM,0966-9582,1,
881,brandon-cleaned,JOURNAL OF SYSTEMATICS AND EVOLUTION,1674-4918,0,
882,brandon-cleaned,JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,1096-2247,1,
883,brandon-cleaned,JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,8756-971X,0,
884,brandon-cleaned,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1093-474X,1,
885,brandon-cleaned,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,0,
886,brandon-cleaned,JOURNAL OF THE CHARTERED INSTITUTION OF WATER AND ENVIRONMENTAL MANAGEMENT,1747-6585,0,
887,brandon-cleaned,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,0016-7622,0,
888,brandon-cleaned,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,0255-660X,0,
889,brandon-cleaned,JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,0022-8567,1,
890,brandon-cleaned,JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,1,
891,brandon-cleaned,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,0025-3154,0,
892,brandon-cleaned,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,1391-4588,0,
893,brandon-cleaned,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,0887-3593,1,
894,brandon-cleaned,JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,1,
895,brandon-cleaned,JOURNAL OF THE ROYAL SOCIETY INTERFACE,1742-5689,0,
896,brandon-cleaned,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,0303-6758,0,
897,brandon-cleaned,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,0,
898,brandon-cleaned,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142,0,
899,brandon-cleaned,JOURNAL OF THE TORREY BOTANICAL SOCIETY,1095-5674,1,
900,brandon-cleaned,JOURNAL OF THEORETICAL BIOLOGY,0022-5193,1,
901,brandon-cleaned,JOURNAL OF THERMAL BIOLOGY,0306-4565,1,
902,brandon-cleaned,JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923,1,
903,brandon-cleaned,JOURNAL OF TRAVEL RESEARCH,0047-2875,1,
904,brandon-cleaned,JOURNAL OF TROPICAL ECOLOGY,0266-4674,1,
905,brandon-cleaned,JOURNAL OF TROPICAL FOREST SCIENCE,0128-1283,1,
906,brandon-cleaned,JOURNAL OF URBAN MANAGEMENT,2226-5856,1,
907,brandon-cleaned,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,0733-9488,1,
908,brandon-cleaned,JOURNAL OF URBAN TECHNOLOGY,1063-0732,1,
909,brandon-cleaned,JOURNAL OF VEGETATION SCIENCE,1100-9233,1,
910,brandon-cleaned,JOURNAL OF WATER AND CLIMATE CHANGE,2040-2244,0,
911,brandon-cleaned,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,0733-9496,1,
912,brandon-cleaned,JOURNAL OF WILDLIFE DISEASES,0090-3558,1,
913,brandon-cleaned,JOURNAL OF WILDLIFE MANAGEMENT,0022-541X,1,
914,brandon-cleaned,JOURNAL OF ZHEJIANG UNIVERSITY-SCIENCE B,1673-1581,0,
915,brandon-cleaned,JOURNAL OF ZOOLOGY,0952-8369,0,
916,brandon-cleaned,JURNAL CITA HUKUM-INDONESIAN LAW JOURNAL,2356-1440,0,
917,brandon-cleaned,JURNAL ILMU DAN TEKNOLOGI KELAUTAN TROPIS,2087-9423,0,
918,brandon-cleaned,JURNAL TEKNOLOGI,0127-9696,0,
919,brandon-cleaned,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1961-9502,1,
920,brandon-cleaned,KUWAIT JOURNAL OF SCIENCE & ENGINEERING,1024-8684,0,
921,brandon-cleaned,LAKE AND RESERVOIR MANAGEMENT,1040-2381,0,
922,brandon-cleaned,LAND DEGRADATION & DEVELOPMENT,1085-3278,0,
923,brandon-cleaned,LAND ECONOMICS,0023-7639,1,
924,brandon-cleaned,LAND USE POLICY,0264-8377,1,
925,brandon-cleaned,LANDBAUFORSCHUNG,0458-6859,0,
926,brandon-cleaned,LANDSCAPE AND ECOLOGICAL ENGINEERING,1860-1871,0,
927,brandon-cleaned,LANDSCAPE AND URBAN PLANNING,0169-2046,1,
928,brandon-cleaned,LANDSCAPE ARCHITECTURE FRONTIERS,2095-5405,0,
929,brandon-cleaned,LANDSCAPE ECOLOGY,0921-2973,0,
930,brandon-cleaned,LANDSCAPE JOURNAL,0277-2426,1,
931,brandon-cleaned,LANDSCAPE RESEARCH,0142-6397,1,
932,brandon-cleaned,LATERALITY,1357-650X,1,
933,brandon-cleaned,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,0718-560X,1,
934,brandon-cleaned,LEADERSHIP,1742-7150,0,
935,brandon-cleaned,LEARNING CULTURE AND SOCIAL INTERACTION,2210-6561,0,
936,brandon-cleaned,LESNOY ZHURNAL-FORESTRY JOURNAL,0536-1036,0,
937,brandon-cleaned,LIMNETICA,0213-8409,0,
938,brandon-cleaned,LIMNOLOGICA,0075-9511,1,
939,brandon-cleaned,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,1,
940,brandon-cleaned,LIMNOLOGY AND OCEANOGRAPHY-METHODS,1541-5856,0,
941,brandon-cleaned,LOCAL ENVIRONMENT,1354-9839,1,
942,brandon-cleaned,MADERA Y BOSQUES,2448-7597,0,
943,brandon-cleaned,MALACOLOGIA,0076-2997,0,
944,brandon-cleaned,MAMMAL RESEARCH,2199-2401,0,
945,brandon-cleaned,MAMMAL REVIEW,0305-1838,1,
946,brandon-cleaned,MAMMAL STUDY,1343-4152,0,
947,brandon-cleaned,MAMMALIAN BIOLOGY,1616-5047,1,
948,brandon-cleaned,MAN IN INDIA,0025-1569,0,
949,brandon-cleaned,MANAGEMENT OF BIOLOGICAL INVASIONS,1989-8649,1,
950,brandon-cleaned,MANAGEMENT OF ENVIRONMENTAL QUALITY,1477-7835,0,
951,brandon-cleaned,MARINE AND COASTAL FISHERIES,1942-5120,1,
952,brandon-cleaned,MARINE AND FRESHWATER RESEARCH,1323-1650,0,
953,brandon-cleaned,MARINE BIODIVERSITY,1867-1616,0,
954,brandon-cleaned,MARINE BIOLOGY,0025-3162,1,
955,brandon-cleaned,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,0173-9565,1,
956,brandon-cleaned,MARINE ECOLOGY PROGRESS SERIES,0171-8630,0,
957,brandon-cleaned,MARINE ENVIRONMENTAL RESEARCH,0141-1136,1,
958,brandon-cleaned,MARINE GEODESY,0149-0419,1,
959,brandon-cleaned,MARINE MAMMAL SCIENCE,0824-0469,0,
960,brandon-cleaned,MARINE POLICY,0308-597X,1,
961,brandon-cleaned,MARINE POLLUTION BULLETIN,0025-326X,1,
962,brandon-cleaned,MARINE RESOURCE ECONOMICS,0738-1360,0,
963,brandon-cleaned,MARINE TECHNOLOGY SOCIETY JOURNAL,0025-3324,0,
964,brandon-cleaned,MARITIME STUDIES,1872-7859,0,
965,brandon-cleaned,MATHEMATICAL AND COMPUTATIONAL FORESTRY & NATURAL-RESOURCE SCIENCES,1946-7664,1,
966,brandon-cleaned,MATHEMATICAL BIOSCIENCES,0025-5564,1,
967,brandon-cleaned,MATHEMATICS AND COMPUTERS IN SIMULATION,0378-4754,1,
968,brandon-cleaned,MEDICAL HYPOTHESES,0306-9877,1,
969,brandon-cleaned,MEDITERRANEAN BOTANY,2603-9109,1,
970,brandon-cleaned,MEDITERRANEAN MARINE SCIENCE,1108-393X,0,
971,brandon-cleaned,METALURGIA INTERNATIONAL,1582-2214,0,
972,brandon-cleaned,METHODS IN ECOLOGY AND EVOLUTION,2041-210X,0,
973,brandon-cleaned,METHODSX,2215-0161,1,
974,brandon-cleaned,MICROBIAL ECOLOGY,0095-3628,0,
975,brandon-cleaned,MITIGATION AND ADAPTATION STRATEGIES FOR GLOBAL CHANGE,1381-2386,0,
976,brandon-cleaned,MITOCHONDRIAL DNA PART A,2470-1394,0,
977,brandon-cleaned,MODELING EARTH SYSTEMS AND ENVIRONMENT,2363-6203,0,
978,brandon-cleaned,MOLECULAR BIOLOGY REPORTS,0301-4851,0,
979,brandon-cleaned,MOLECULAR ECOLOGY,0962-1083,1,
980,brandon-cleaned,MOLECULAR ECOLOGY RESOURCES,1755-098X,0,
981,brandon-cleaned,MOLECULAR PHYLOGENETICS AND EVOLUTION,1055-7903,1,
982,brandon-cleaned,MOLLUSCAN RESEARCH,1323-5818,0,
983,brandon-cleaned,MOUNTAIN RESEARCH AND DEVELOPMENT,0276-4741,1,
984,brandon-cleaned,MYCOLOGIA,0027-5514,1,
985,brandon-cleaned,MYCORRHIZA,0940-6360,0,
986,brandon-cleaned,MYCOSPHERE,2077-7000,0,
987,brandon-cleaned,MYRMECOLOGICAL NEWS,1994-4136,0,
988,brandon-cleaned,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,0250-541X,0,
989,brandon-cleaned,NATURAL AREAS JOURNAL,0885-8608,0,
990,brandon-cleaned,NATURAL HAZARDS,0921-030X,1,
991,brandon-cleaned,NATURAL RESOURCE MODELING,0890-8575,0,
992,brandon-cleaned,NATURAL RESOURCES FORUM,0165-0203,0,
993,brandon-cleaned,NATURAL RESOURCES JOURNAL,0028-0739,0,
994,brandon-cleaned,NATURE,0028-0836,1,
995,brandon-cleaned,NATURE CLIMATE CHANGE,1758-678X,0,
996,brandon-cleaned,NATURE COMMUNICATIONS,2041-1723,1,
997,brandon-cleaned,NATURE ECOLOGY & EVOLUTION,2397-334X,0,
998,brandon-cleaned,NATURE PLANTS,2055-026X,0,
999,brandon-cleaned,NATURE SUSTAINABILITY,2398-9629,0,
1000,brandon-cleaned,NATUREZA & CONSERVACAO,1679-0073,0,
1001,brandon-cleaned,NATURWISSENSCHAFTEN,0028-1042,0,
1002,brandon-cleaned,NEOTROPICAL ENTOMOLOGY,1519-566X,0,
1003,brandon-cleaned,NEOTROPICAL ICHTHYOLOGY,1679-6225,0,
1004,brandon-cleaned,NEW FORESTS,0169-4286,0,
1005,brandon-cleaned,NEW PHYTOLOGIST,0028-646X,1,
1006,brandon-cleaned,NEW ZEALAND JOURNAL OF BOTANY,0028-825X,0,
1007,brandon-cleaned,NEW ZEALAND JOURNAL OF ECOLOGY,0110-6465,0,
1008,brandon-cleaned,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,0048-0134,0,
1009,brandon-cleaned,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0028-8330,0,
1010,brandon-cleaned,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,1573-5214,0,
1011,brandon-cleaned,NONLINEAR DYNAMICS,0924-090X,0,
1012,brandon-cleaned,NORDIC JOURNAL OF BOTANY,0107-055X,0,
1013,brandon-cleaned,NORTH-WESTERN JOURNAL OF ZOOLOGY,1584-9074,0,
1014,brandon-cleaned,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,0275-5947,1,
1015,brandon-cleaned,NORTHEASTERN NATURALIST,1092-6194,1,
1016,brandon-cleaned,NORTHWEST SCIENCE,0029-344X,0,
1017,brandon-cleaned,NOTORNIS,0029-4470,0,
1018,brandon-cleaned,NOTULAE BOTANICAE HORTI AGROBOTANICI CLUJ-NAPOCA,0255-965X,0,
1019,brandon-cleaned,NOVA HEDWIGIA,0029-5035,0,
1020,brandon-cleaned,NUTRIENT CYCLING IN AGROECOSYSTEMS,1385-1314,0,
1021,brandon-cleaned,OCEAN & COASTAL MANAGEMENT,0964-5691,1,
1022,brandon-cleaned,OCEAN DEVELOPMENT AND INTERNATIONAL LAW,0090-8320,1,
1023,brandon-cleaned,OCEAN DYNAMICS,1616-7341,1,
1024,brandon-cleaned,OCEANOGRAPHY,1042-8275,0,
1025,brandon-cleaned,"OCEANOGRAPHY AND MARINE BIOLOGY, VOL 40",0078-3218,0,
1026,brandon-cleaned,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,1730-413X,0,
1027,brandon-cleaned,ODONATOLOGICA,0375-0183,1,
1028,brandon-cleaned,OECOLOGIA,0029-8549,0,
1029,brandon-cleaned,OIKOS,0030-1299,1,
1030,brandon-cleaned,OPEN AGRICULTURE,2391-9531,1,
1031,brandon-cleaned,ORGANIZATION & ENVIRONMENT,1086-0266,1,
1032,brandon-cleaned,ORNIS FENNICA,0030-5685,1,
1033,brandon-cleaned,ORNITOLOGIA NEOTROPICAL,1075-4377,1,
1034,brandon-cleaned,ORYX,0030-6053,0,
1035,brandon-cleaned,OSTRICH,0030-6525,0,
1036,brandon-cleaned,OUTLOOK ON AGRICULTURE,0030-7270,0,
1037,brandon-cleaned,OXFORD REVIEW OF ECONOMIC POLICY,0266-903X,0,
1038,brandon-cleaned,OXIDATION COMMUNICATIONS,0209-4541,1,
1039,brandon-cleaned,PACIFIC SCIENCE,0030-8870,0,
1040,brandon-cleaned,PADDY AND WATER ENVIRONMENT,1611-2490,0,
1041,brandon-cleaned,PAKISTAN JOURNAL OF BOTANY,0556-3321,0,
1042,brandon-cleaned,PAKISTAN JOURNAL OF ZOOLOGY,0030-9923,1,
1043,brandon-cleaned,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,0031-0182,1,
1044,brandon-cleaned,PALEOBIOLOGY,0094-8373,1,
1045,brandon-cleaned,PALGRAVE COMMUNICATIONS,2055-1045,1,
1046,brandon-cleaned,PAPERS IN REGIONAL SCIENCE,1056-8190,1,
1047,brandon-cleaned,PARASITOLOGY,0031-1820,1,
1048,brandon-cleaned,PARASITOLOGY INTERNATIONAL,1383-5769,1,
1049,brandon-cleaned,PEDIATRICS,0031-4005,1,
1050,brandon-cleaned,PEDOBIOLOGIA,0031-4056,1,
1051,brandon-cleaned,PEDOSPHERE,1002-0160,0,
1052,brandon-cleaned,PERSPECTIVES IN ECOLOGY AND CONSERVATION,2530-0644,1,
1053,brandon-cleaned,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,1433-8319,1,
1054,brandon-cleaned,PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,0128-7702,0,
1055,brandon-cleaned,PEST MANAGEMENT SCIENCE,1526-498X,0,
1056,brandon-cleaned,PHILIPPINE AGRICULTURAL SCIENTIST,0031-7454,0,
1057,brandon-cleaned,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1364-503X,1,
1058,brandon-cleaned,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8436,1,
1059,brandon-cleaned,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,0099-1112,0,
1060,brandon-cleaned,PHYSICS AND CHEMISTRY OF THE EARTH,1474-7065,1,
1061,brandon-cleaned,PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE,1464-1909,1,
1062,brandon-cleaned,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1522-2152,1,
1063,brandon-cleaned,PHYSIOLOGY & BEHAVIOR,0031-9384,1,
1064,brandon-cleaned,PHYTOCHEMISTRY REVIEWS,1568-7767,0,
1065,brandon-cleaned,PHYTOCOENOLOGIA,0340-269X,0,
1066,brandon-cleaned,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,1851-5657,0,
1067,brandon-cleaned,PHYTOPARASITICA,0334-2123,0,
1068,brandon-cleaned,PHYTOPATHOLOGY,0031-949X,1,
