,journal,issn,access,notes,university
370,EARTH AND ENVIRONMENTAL SCIENCE TRANSACTIONS OF THE ROYAL SOCIETY OF EDINBURGH,1755-6910,1,,ualberta
371,EARTH INTERACTIONS,1087-3562,1,,ualberta
372,EARTHS FUTURE,2328-4277,1,,ualberta
373,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,2073-106X,1,,ualberta
374,ECOGRAPHY,0906-7590,1,,ualberta
375,ECOHEALTH,1612-9202,1,,ualberta
376,ECOHYDROLOGY,1936-0584,1,,ualberta
377,ECOHYDROLOGY & HYDROBIOLOGY,1642-3593,1,,ualberta
378,ECOLOGICAL APPLICATIONS,1051-0761,1,,ualberta
379,ECOLOGICAL COMPLEXITY,1476-945X,1,,ualberta
380,ECOLOGICAL ECONOMICS,0921-8009,1,,ualberta
381,ECOLOGICAL ENGINEERING,0925-8574,1,,ualberta
382,ECOLOGICAL ENTOMOLOGY,0307-6946,1,,ualberta
383,ECOLOGICAL INDICATORS,1470-160X,1,,ualberta
384,ECOLOGICAL INFORMATICS,1574-9541,1,,ualberta
385,ECOLOGICAL MANAGEMENT & RESTORATION,1442-7001,1,,ualberta
386,ECOLOGICAL MODELLING,0304-3800,1,,ualberta
387,ECOLOGICAL MONOGRAPHS,0012-9615,1,,ualberta
388,ECOLOGICAL QUESTIONS,1644-7298,1,,ualberta
389,ECOLOGICAL RESEARCH,0912-3814,1,,ualberta
390,ECOLOGICAL RESTORATION,1543-4060,1,,ualberta
391,ECOLOGY,0012-9658,1,,ualberta
392,ECOLOGY AND EVOLUTION,2045-7758,1,,ualberta
393,ECOLOGY AND SOCIETY,1708-3087,1,,ualberta
394,ECOLOGY LAW QUARTERLY,0046-1121,1,,ualberta
395,ECOLOGY LETTERS,1461-023X,1,,ualberta
396,ECOLOGY OF FRESHWATER FISH,0906-6691,1,,ualberta
397,ECONOMIC AND LABOUR RELATIONS REVIEW,1035-3046,1,,ualberta
398,ECONOMIC AND SOCIAL CHANGES-FACTS TRENDS FORECAST,2307-0331,1,,ualberta
399,ECONOMIC BOTANY,0013-0001,1,,ualberta
400,ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,1331-677X,1,,ualberta
401,ECONOMIC SYSTEMS RESEARCH,0953-5314,1,,ualberta
402,ECONOMIC THEORY,0938-2259,1,,ualberta
403,ECOSCIENCE,1195-6860,1,,ualberta
404,ECOSPHERE,2150-8925,1,,ualberta
405,ECOSYSTEM HEALTH,1076-2825,1,,ualberta
406,ECOSYSTEM SERVICES,2212-0416,1,,ualberta
407,ECOSYSTEMS,1432-9840,1,,ualberta
408,ECOTOXICOLOGY,0963-9292,1,,ualberta
409,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,0147-6513,1,,ualberta
410,ECOTROPICA,0949-3026,1,,ualberta
411,EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES,1110-9823,1,,ualberta
412,EKOLOGIA-BRATISLAVA,1335-342X,1,,ualberta
413,EKOLOJI,1300-1361,1,,ualberta
414,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,2325-1026,1,,ualberta
415,EMERGING INFECTIOUS DISEASES,1080-6040,1,,ualberta
416,EMU,0158-4197,1,,ualberta
417,ENDANGERED SPECIES RESEARCH,1863-5407,1,,ualberta
418,ENERGY AND BUILDINGS,0378-7788,1,,ualberta
419,ENERGY CONVERSION AND MANAGEMENT,0196-8904,1,,ualberta
420,ENERGY ECONOMICS,0140-9883,1,,ualberta
421,ENERGY POLICY,0301-4215,1,,ualberta
422,ENERGY RESEARCH & SOCIAL SCIENCE,2214-6296,1,,ualberta
423,ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,1556-7036,0,,ualberta
424,ENGENHARIA AGRICOLA,0100-6916,1,,ualberta
425,ENGINEERING,2095-8099,1,,ualberta
426,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0952-1976,1,,ualberta
427,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,0013-8703,1,,ualberta
428,ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,1,,ualberta
429,ENVIRONMENT,0013-9157,1,,ualberta
430,ENVIRONMENT AND BEHAVIOR,0013-9165,1,,ualberta
431,ENVIRONMENT AND DEVELOPMENT ECONOMICS,1355-770X,1,,ualberta
432,ENVIRONMENT AND HISTORY,0967-3407,1,,ualberta
433,ENVIRONMENT AND PLANNING A,0308-518X,1,,ualberta
434,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,0265-8135,0,,ualberta
435,ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X,1,,ualberta
436,ENVIRONMENT AND SOCIETY-ADVANCES IN RESEARCH,2150-6779,1,,ualberta
437,ENVIRONMENT AND URBANIZATION,0956-2478,1,,ualberta
438,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1387-585X,1,,ualberta
439,ENVIRONMENT INTERNATIONAL,0160-4120,1,,ualberta
440,ENVIRONMENTAL & RESOURCE ECONOMICS,0924-6460,1,,ualberta
441,ENVIRONMENTAL AND PLANNING LAW JOURNAL,0813-300X,0,,ualberta
442,ENVIRONMENTAL BIOLOGY OF FISHES,0378-1909,1,,ualberta
443,ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,1752-4032,1,,ualberta
444,ENVIRONMENTAL CONSERVATION,0376-8929,1,,ualberta
445,ENVIRONMENTAL DEVELOPMENT,2211-4645,1,,ualberta
446,ENVIRONMENTAL EARTH SCIENCES,1866-6280,1,,ualberta
447,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,1582-9596,0,,ualberta
448,ENVIRONMENTAL ENGINEERING SCIENCE,1092-8758,1,,ualberta
449,ENVIRONMENTAL ENTOMOLOGY,0046-225X,1,,ualberta
450,ENVIRONMENTAL ETHICS,0163-4275,1,,ualberta
451,ENVIRONMENTAL FORENSICS,1527-5922,0,,ualberta
452,ENVIRONMENTAL GEOLOGY,0943-0105,1,,ualberta
453,ENVIRONMENTAL HAZARDS-HUMAN AND POLICY DIMENSIONS,1747-7891,0,,ualberta
454,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,1,,ualberta
455,ENVIRONMENTAL HISTORY,1084-5453,1,,ualberta
456,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,0195-9255,1,,ualberta
457,ENVIRONMENTAL MANAGEMENT,0364-152X,1,,ualberta
458,ENVIRONMENTAL MICROBIOLOGY REPORTS,1758-2229,1,,ualberta
459,ENVIRONMENTAL MODELING & ASSESSMENT,1420-2026,1,,ualberta
460,ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152,1,,ualberta
461,ENVIRONMENTAL MONITORING AND ASSESSMENT,0167-6369,1,,ualberta
462,ENVIRONMENTAL POLICY AND GOVERNANCE,1756-932X,1,,ualberta
463,ENVIRONMENTAL POLITICS,0964-4016,1,,ualberta
464,ENVIRONMENTAL POLLUTION,0269-7491,1,,ualberta
465,ENVIRONMENTAL PRACTICE,1466-0466,1,,ualberta
466,ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,1944-7442,1,,ualberta
467,ENVIRONMENTAL RESEARCH,0013-9351,1,,ualberta
468,ENVIRONMENTAL RESEARCH LETTERS,1748-9326,1,,ualberta
469,ENVIRONMENTAL REVIEWS,1208-6053,1,,ualberta
470,ENVIRONMENTAL SCIENCE & POLICY,1462-9011,1,,ualberta
471,ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,1,,ualberta
472,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,1,,ualberta
473,ENVIRONMENTAL SOCIOLOGY,2325-1042,0,,ualberta
474,ENVIRONMENTAL TECHNOLOGY,0959-3330,1,,ualberta
475,ENVIRONMENTAL TECHNOLOGY & INNOVATION,2352-1864,1,,ualberta
476,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,0730-7268,1,,ualberta
477,ENVIRONMENTAL VALUES,0963-2719,1,,ualberta
478,ENVIRONMETRICS,1180-4009,1,,ualberta
479,EPIDEMIOLOGY AND INFECTION,0950-2688,1,,ualberta
480,EPISODES,0705-3797,1,,ualberta
481,ERDKUNDE,0014-0015,1,,ualberta
482,ESTUARIES,0160-8347,1,,ualberta
483,ESTUARIES AND COASTS,1559-2723,1,,ualberta
484,ESTUARINE COASTAL AND SHELF SCIENCE,0272-7714,1,,ualberta
485,ETHNOBIOLOGY LETTERS,2159-8126,1,,ualberta
486,EUPHYTICA,0014-2336,1,,ualberta
487,EUROPE-ASIA STUDIES,0966-8136,1,,ualberta
488,EUROPEAN COUNTRYSIDE,1803-8417,1,,ualberta
489,EUROPEAN JOURNAL OF AGRONOMY,1161-0301,1,,ualberta
490,EUROPEAN JOURNAL OF EDUCATION,0141-8211,1,,ualberta
491,EUROPEAN JOURNAL OF FOREST RESEARCH,1612-4669,1,,ualberta
492,EUROPEAN JOURNAL OF INTERNATIONAL LAW,0938-5428,1,,ualberta
493,EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,1,,ualberta
494,EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1,,ualberta
495,EUROPEAN JOURNAL OF PROTISTOLOGY,0932-4739,1,,ualberta
496,EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1,,ualberta
497,EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754,1,,ualberta
498,EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT,2239-5938,0,,ualberta
499,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1,,ualberta
500,EUROPEAN PLANNING STUDIES,0965-4313,1,,ualberta
501,EUROPEAN ZOOLOGICAL JOURNAL,2475-0263,1,,ualberta
502,EVIDENCE & POLICY,1744-2648,1,,ualberta
503,EVOLUTION,0014-3820,1,,ualberta
504,EVOLUTIONARY APPLICATIONS,1752-4571,1,,ualberta
505,EVOLUTIONARY ECOLOGY,0269-7653,1,,ualberta
506,EVOLUTIONARY ECOLOGY RESEARCH,1522-0613,1,,ualberta
507,EXPERIMENTAL AGRICULTURE,0014-4797,1,,ualberta
508,EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1,,ualberta
509,EXTREMOPHILES,1431-0651,1,,ualberta
510,FEMS MICROBIOLOGY LETTERS,0378-1097,1,,ualberta
511,FIELD CROPS RESEARCH,0378-4290,1,,ualberta
512,FISH AND FISHERIES,1467-2960,1,,ualberta
513,FISHERIES,0363-2415,1,,ualberta
514,FISHERIES MANAGEMENT AND ECOLOGY,0969-997X,1,,ualberta
515,FISHERIES OCEANOGRAPHY,1054-6006,1,,ualberta
516,FISHERIES RESEARCH,0165-7836,1,,ualberta
517,FISHERIES SCIENCE,0919-9268,1,,ualberta
518,FISHERY BULLETIN,0090-0656,1,,ualberta
519,FLORA,0367-2530,1,,ualberta
520,FLORESTA E AMBIENTE,2179-8087,1,,ualberta
521,FLORIDA ENTOMOLOGIST,0015-4040,1,,ualberta
522,FOLIA GEOBOTANICA,1211-9520,1,,ualberta
523,FOLIA PRIMATOLOGICA,0015-5713,1,,ualberta
524,FOLIA ZOOLOGICA,0139-7893,1,,ualberta
525,FOOD CONTROL,0956-7135,1,,ualberta
526,FOOD POLICY,0306-9192,1,,ualberta
527,FOOD RESEARCH INTERNATIONAL,0963-9969,1,,ualberta
528,FOOD SECURITY,1876-4517,1,,ualberta
529,FORENSIC SCIENCE INTERNATIONAL GENETICS SUPPLEMENT SERIES,1875-1768,1,,ualberta
530,FOREST AND SOCIETY,2549-4724,1,,ualberta
531,FOREST ECOLOGY AND MANAGEMENT,0378-1127,1,,ualberta
532,FOREST PATHOLOGY,1437-4781,1,,ualberta
533,FOREST POLICY AND ECONOMICS,1389-9341,1,,ualberta
534,FOREST SCIENCE,0015-749X,1,,ualberta
535,FOREST SYSTEMS,2171-5068,1,,ualberta
536,FORESTRY,0015-752X,1,,ualberta
537,FORESTRY CHRONICLE,0015-7546,1,,ualberta
538,FORSTWISSENSCHAFTLICHES CENTRALBLATT,0015-8003,0,,ualberta
539,FORUM FOR DEVELOPMENT STUDIES,0803-9410,0,,ualberta
540,FRESENIUS ENVIRONMENTAL BULLETIN,1018-4619,0,,ualberta
541,FRESHWATER BIOLOGY,0046-5070,1,,ualberta
542,FRESHWATER SCIENCE,2161-9549,1,,ualberta
543,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,1540-9295,1,,ualberta
544,FRONTIERS OF AGRICULTURAL SCIENCE AND ENGINEERING,2095-7505,1,,ualberta
545,FRONTIERS OF EARTH SCIENCE,2095-0195,1,,ualberta
546,FUNCTIONAL ECOLOGY,0269-8463,1,,ualberta
547,FUNDAMENTAL AND APPLIED LIMNOLOGY,1863-9135,0,,ualberta
548,FUNGAL BIOLOGY REVIEWS,1749-4613,1,,ualberta
549,FUNGAL ECOLOGY,1754-5048,1,,ualberta
550,FUTURES,0016-3287,1,,ualberta
551,GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,0940-5550,1,,ualberta
552,GENDER PLACE AND CULTURE,0966-369X,1,,ualberta
553,GENERAL AND COMPARATIVE ENDOCRINOLOGY,0016-6480,1,,ualberta
554,GENES & GENOMICS,1976-9571,0,,ualberta
555,GENETIC RESOURCES AND CROP EVOLUTION,0925-9864,1,,ualberta
556,GENETICS AND MOLECULAR RESEARCH,1676-5680,1,,ualberta
557,GENOME,0831-2796,1,,ualberta
558,GEO-GEOGRAPHY AND ENVIRONMENT,2054-4049,1,,ualberta
559,GEOCARTO INTERNATIONAL,1010-6049,1,,ualberta
560,GEODERMA,0016-7061,1,,ualberta
561,GEOFORUM,0016-7185,1,,ualberta
562,GEOGRAFISK TIDSSKRIFT-DANISH JOURNAL OF GEOGRAPHY,0016-7223,1,,ualberta
563,GEOGRAPHICAL JOURNAL,0016-7398,1,,ualberta
564,GEOGRAPHICAL RESEARCH,1745-5863,1,,ualberta
565,GEOGRAPHICAL REVIEW,0016-7428,1,,ualberta
566,GEOHEALTH,2471-1403,1,,ualberta
567,GEOJOURNAL,0343-2521,1,,ualberta
568,GEOLOGICA CARPATHICA,1335-0552,1,,ualberta
569,GEOLOGY,0091-7613,1,,ualberta
570,GEOMORPHOLOGY,0169-555X,1,,ualberta
571,GEOPHYSICAL RESEARCH LETTERS,0094-8276,1,,ualberta
572,GEOSPATIAL HEALTH,1827-1987,1,,ualberta
573,GEOTHERMICS,0375-6505,1,,ualberta
574,GISCIENCE & REMOTE SENSING,1548-1603,1,,ualberta
575,GLOBAL AND PLANETARY CHANGE,0921-8181,1,,ualberta
576,GLOBAL CHANGE BIOLOGY,1354-1013,1,,ualberta
577,GLOBAL CHANGE BIOLOGY BIOENERGY,1757-1693,1,,ualberta
578,GLOBAL ECOLOGY AND BIOGEOGRAPHY,1466-822X,1,,ualberta
579,GLOBAL ECOLOGY AND CONSERVATION,2351-9894,1,,ualberta
580,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780,1,,ualberta
581,GLOBAL ENVIRONMENTAL POLITICS,1526-3800,1,,ualberta
582,GLOBAL FOOD SECURITY-AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,2211-9124,1,,ualberta
583,GLOBAL POLICY,1758-5880,1,,ualberta
584,GRASS AND FORAGE SCIENCE,0142-5242,1,,ualberta
585,GRASSLAND SCIENCE,1744-6961,1,,ualberta
586,GRIFFITH LAW REVIEW,1038-3441,1,,ualberta
587,GROUND WATER,0017-467X,1,,ualberta
588,HABITAT INTERNATIONAL,0197-3975,1,,ualberta
589,HARMFUL ALGAE,1568-9883,1,,ualberta
590,HARVARD ENVIRONMENTAL LAW REVIEW,0147-8257,1,,ualberta
591,HELIYON,2405-8440,1,,ualberta
592,HERALD OF AN ARCHIVIST,2073-0101,0,,ualberta
593,HEREDITY,0018-067X,1,,ualberta
594,HERPETOLOGICA,0018-0831,1,,ualberta
595,HERPETOLOGICAL CONSERVATION AND BIOLOGY,2151-0733,1,,ualberta
596,HERPETOLOGICAL JOURNAL,0268-0130,1,,ualberta
597,HERPETOZOA,1013-4425,1,,ualberta
598,HISTORICAL RECORDS OF AUSTRALIAN SCIENCE,0727-3061,1,,ualberta
599,HISTORICAL STUDIES IN THE NATURAL SCIENCES,1939-1811,1,,ualberta
600,HOLOCENE,0959-6836,1,,ualberta
601,HORTSCIENCE,0018-5345,1,,ualberta
602,HORTTECHNOLOGY,1063-0198,1,,ualberta
603,HUMAN AND ECOLOGICAL RISK ASSESSMENT,1080-7039,1,,ualberta
604,HUMAN DIMENSIONS OF WILDLIFE,1087-1209,1,,ualberta
605,HUMAN ECOLOGY,0300-7839,1,,ualberta
606,HUMAN ECOLOGY REVIEW,1074-4827,1,,ualberta
607,HUMAN ORGANIZATION,0018-7259,1,,ualberta
608,HUMAN RIGHTS QUARTERLY,0275-0392,1,,ualberta
609,HYDROBIOLOGIA,0018-8158,1,,ualberta
610,HYDROGEOLOGY JOURNAL,1431-2174,1,,ualberta
611,HYDROLOGICAL PROCESSES,0885-6087,1,,ualberta
612,HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,0262-6667,1,,ualberta
613,HYDROLOGY RESEARCH,0029-1277,0,,ualberta
614,HYPATIA-A JOURNAL OF FEMINIST PHILOSOPHY,0887-5367,1,,ualberta
615,HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY,0394-1914,1,,ualberta
616,IBIS,0019-1019,1,,ualberta
617,ICES JOURNAL OF MARINE SCIENCE,1054-3139,1,,ualberta
618,IDOJARAS,0324-6329,0,,ualberta
619,IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0265-5012,1,,ualberta
620,IEEE JOURNAL OF OCEANIC ENGINEERING,0364-9059,1,,ualberta
621,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,1939-1404,1,,ualberta
622,IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,1545-5955,1,,ualberta
623,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,0196-2892,1,,ualberta
624,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,1551-3203,1,,ualberta
625,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,1083-4427,1,,ualberta
626,IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS,2168-2216,1,,ualberta
627,IFAC PAPERSONLINE,2405-8963,0,,ualberta
628,IFOREST-BIOGEOSCIENCES AND FORESTRY,1971-7458,1,,ualberta
629,IHERINGIA SERIE ZOOLOGIA,0073-4721,1,,ualberta
630,ILAR JOURNAL,1084-2020,1,,ualberta
631,IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-PLANT,1054-5476,1,,ualberta
632,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,0019-5022,0,,ualberta
633,INDIAN JOURNAL OF ANIMAL SCIENCES,0367-8318,0,,ualberta
634,INDIAN JOURNAL OF GEO-MARINE SCIENCES,0379-5136,0,,ualberta
635,INDIAN JOURNAL OF TRADITIONAL KNOWLEDGE,0972-5938,1,,ualberta
636,INDO AMERICAN JOURNAL OF PHARMACEUTICAL SCIENCES,2349-7750,0,,ualberta
637,INDOOR AND BUILT ENVIRONMENT,1420-326X,1,,ualberta
638,INDUSTRIAL CROPS AND PRODUCTS,0926-6690,1,,ualberta
639,INFECTION GENETICS AND EVOLUTION,1567-1348,1,,ualberta
640,INFOR,0315-5986,1,,ualberta
641,INFRARED PHYSICS & TECHNOLOGY,1350-4495,1,,ualberta
642,INLAND WATERS,2044-2041,1,,ualberta
643,INNOVATION-THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH,1351-1610,1,,ualberta
644,INSECT CONSERVATION AND DIVERSITY,1752-458X,1,,ualberta
645,INSECT SCIENCE,1672-9609,1,,ualberta
646,INTEGRATED ENVIRONMENTAL ASSESSMENT AND MANAGEMENT,1551-3777,1,,ualberta
647,INTEGRATIVE AND COMPARATIVE BIOLOGY,1540-7063,1,,ualberta
648,INTEGRATIVE ZOOLOGY,1749-4877,1,,ualberta
649,INTERCIENCIA,0378-1844,1,,ualberta
650,INTERFACE FOCUS,2042-8898,1,,ualberta
651,INTERNATIONAL AFFAIRS,0020-5850,1,,ualberta
652,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,0964-8305,1,,ualberta
653,INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS,1567-9764,1,,ualberta
654,INTERNATIONAL FEMINIST JOURNAL OF POLITICS,1461-6742,1,,ualberta
655,INTERNATIONAL FORESTRY REVIEW,1465-5489,1,,ualberta
656,INTERNATIONAL JOURNAL FOR PARASITOLOGY,0020-7519,1,,ualberta
657,INTERNATIONAL JOURNAL FOR PARASITOLOGY-PARASITES AND WILDLIFE,2213-2244,1,,ualberta
658,INTERNATIONAL JOURNAL OF ADVANCED BIOTECHNOLOGY AND RESEARCH,0976-2612,0,,ualberta
659,INTERNATIONAL JOURNAL OF AGRICULTURAL AND BIOLOGICAL ENGINEERING,1934-6344,1,,ualberta
660,INTERNATIONAL JOURNAL OF AGRICULTURAL AND STATISTICAL SCIENCES,0973-1903,0,,ualberta
661,INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY,1473-5903,1,,ualberta
662,INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,1560-8530,1,,ualberta
663,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,1569-8432,1,,ualberta
664,INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,0020-7128,1,,ualberta
665,INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH,1239-9736,1,,ualberta
666,INTERNATIONAL JOURNAL OF CLIMATOLOGY,0899-8418,1,,ualberta
667,INTERNATIONAL JOURNAL OF CONSERVATION SCIENCE,2067-533X,1,,ualberta
668,INTERNATIONAL JOURNAL OF DIGITAL EARTH,1753-8947,1,,ualberta
669,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,2212-4209,1,,ualberta
670,INTERNATIONAL JOURNAL OF ECOLOGICAL ECONOMICS & STATISTICS,0973-1385,0,,ualberta
671,INTERNATIONAL JOURNAL OF EMERGENCY MANAGEMENT,1471-4825,0,,ualberta
672,INTERNATIONAL JOURNAL OF ENGINEERING AND GEOSCIENCES,2548-0960,1,,ualberta
673,INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,0957-4352,0,,ualberta
674,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH,1735-6865,1,,ualberta
675,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1735-1472,1,,ualberta
676,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,0300-5771,1,,ualberta
677,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1365-8816,1,,ualberta
678,INTERNATIONAL JOURNAL OF GEOMATE,2186-2982,1,,ualberta
679,INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,1750-5836,1,,ualberta
680,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,0278-4319,1,,ualberta
681,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0360-3199,1,,ualberta
682,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,1,,ualberta
683,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,0948-3349,1,,ualberta
684,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,0961-5539,1,,ualberta
685,INTERNATIONAL JOURNAL OF PEST MANAGEMENT,0967-0874,1,,ualberta
686,INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,1522-6514,1,,ualberta
687,INTERNATIONAL JOURNAL OF PLANT PRODUCTION,1735-6814,1,,ualberta
688,INTERNATIONAL JOURNAL OF PLANT SCIENCES,1058-5893,1,,ualberta
689,INTERNATIONAL JOURNAL OF PRIMATOLOGY,0164-0291,1,,ualberta
690,INTERNATIONAL JOURNAL OF REMOTE SENSING,0143-1161,1,,ualberta
691,INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,1571-5124,1,,ualberta
692,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,1350-4509,1,,ualberta
693,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,1099-2340,1,,ualberta
694,INTERNATIONAL JOURNAL OF URBAN SCIENCES,1226-5934,0,,ualberta
695,INTERNATIONAL JOURNAL OF WATER RESOURCES DEVELOPMENT,0790-0627,1,,ualberta
696,INTERNATIONAL JOURNAL OF WILDLAND FIRE,1049-8001,1,,ualberta
697,INTERNATIONAL LETTERS OF NATURAL SCIENCES,2300-9675,0,,ualberta
698,INTERNATIONAL REVIEW OF HYDROBIOLOGY,1434-2944,1,,ualberta
699,INTERNATIONAL SOCIAL SCIENCE JOURNAL,0020-8701,1,,ualberta
700,INTERNATIONAL SOIL AND WATER CONSERVATION RESEARCH,2095-6339,1,,ualberta
701,INVASIVE PLANT SCIENCE AND MANAGEMENT,1939-7291,1,,ualberta
702,INVESTIGACION AGRARIA-SISTEMAS Y RECURSOS FORESTALES,1131-7965,1,,ualberta
703,INZINERINE EKONOMIKA-ENGINEERING ECONOMICS,1392-2785,1,,ualberta
704,IRANIAN JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE & ENGINEERING,1735-1979,1,,ualberta
705,IRRIGATION AND DRAINAGE,1531-0353,1,,ualberta
706,ISLAND STUDIES JOURNAL,1715-2593,1,,ualberta
707,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,0924-2716,1,,ualberta
708,ISRAEL JOURNAL OF ECOLOGY & EVOLUTION,1565-9801,1,,ualberta
709,ISRAEL JOURNAL OF PLANT SCIENCES,0792-9978,1,,ualberta
710,ISRAEL JOURNAL OF ZOOLOGY,0021-2210,1,,ualberta
711,ITALIAN JOURNAL OF ZOOLOGY,1125-0003,1,,ualberta
712,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1460-7425,1,,ualberta
713,JOURNAL FOR NATURE CONSERVATION,1617-1381,1,,ualberta
714,JOURNAL FUR VERBRAUCHERSCHUTZ UND LEBENSMITTELSICHERHEIT-JOURNAL OF CONSUMER PROTECTION AND FOOD SAFETY,1661-5751,1,,ualberta
715,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1187-7863,1,,ualberta
716,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1085-7117,1,,ualberta
717,JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,1,,ualberta
718,JOURNAL OF AGRICULTURAL EDUCATION & EXTENSION,1389-224X,0,,ualberta
719,JOURNAL OF AGRICULTURAL ENGINEERING,1974-7071,1,,ualberta
720,JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,1,,ualberta
721,JOURNAL OF AGRICULTURAL SCIENCE AND TECHNOLOGY,1680-7073,1,,ualberta
722,JOURNAL OF AGROMETEOROLOGY,0972-1665,1,,ualberta
723,JOURNAL OF ANIMAL AND PLANT SCIENCES,1018-7081,1,,ualberta
724,JOURNAL OF ANIMAL ECOLOGY,0021-8790,1,,ualberta
725,JOURNAL OF ANIMAL SCIENCE,0021-8812,1,,ualberta
726,JOURNAL OF APICULTURAL RESEARCH,0021-8839,1,,ualberta
